instance_id|date|hour|is_holiday|is_workingday|weather_condition|normalized_temp_actual|normalized_temp_feels_like|normalized_humidity|normalized_wind_speed|casual_users_cnt|registered_users_cnt
2027|2011-03-30|7|No|Yes|misty|0.32|0.3333|0.45|0.1045|8|128
9943|2012-02-24|7|No|Yes|misty|0.4|0.4091|0.76|0.2239|7|265
9458|2012-02-03|23|No|Yes|clear|0.26|0.2727|0.7|0.1045|3|74
16706|2012-12-03|20|No|Yes|misty|0.46|0.4545|0.77|0.0|16|284
9386|2012-01-31|23|No|Yes|clear|0.44|0.4394|0.38|0.2537|2|61
2821|2011-05-02|10|No|Yes|misty|0.54|0.5152|0.77|0.2239|31|77
3403|2011-05-26|16|No|Yes|misty|0.8|0.7424|0.49|0.3582|58|233
13682|2012-07-29|6|No|No|clear|0.64|0.6061|0.73|0.1642|6|12
1035|2011-02-15|19|No|Yes|clear|0.28|0.2879|0.26|0.1343|3|142
10872|2012-04-03|3|No|Yes|clear|0.38|0.3939|0.46|0.0|0|3
8210|2011-12-13|17|No|Yes|clear|0.36|0.3485|0.4|0.194|17|381
11675|2012-05-06|15|No|No|misty|0.62|0.6061|0.61|0.1045|229|342
10098|2012-03-01|19|No|Yes|clear|0.48|0.4697|0.41|0.3284|11|317
11336|2012-04-22|12|No|No|light snow/rain|0.38|0.3939|0.87|0.3284|5|56
3335|2011-05-23|20|No|Yes|clear|0.64|0.5758|0.83|0.2239|39|271
2079|2011-04-01|11|No|Yes|clear|0.32|0.2879|0.61|0.3582|17|72
2142|2011-04-04|2|No|Yes|clear|0.38|0.3939|0.66|0.2537|1|1
12574|2012-06-13|2|No|Yes|clear|0.62|0.5758|0.83|0.1343|0|4
1982|2011-03-28|10|No|Yes|clear|0.24|0.2273|0.3|0.194|22|47
11676|2012-05-06|16|No|No|misty|0.62|0.6061|0.61|0.0|181|363
12458|2012-06-08|6|No|Yes|clear|0.52|0.5|0.68|0.0896|8|131
13689|2012-07-29|13|No|No|clear|0.8|0.7424|0.49|0.2239|181|302
15970|2012-11-03|2|No|No|misty|0.34|0.3182|0.49|0.2537|10|36
14509|2012-09-01|17|No|No|misty|0.82|0.7727|0.52|0.0|205|258
12563|2012-06-12|15|No|Yes|light snow/rain|0.66|0.5909|0.89|0.194|22|94
2806|2011-05-01|19|No|No|misty|0.46|0.4545|0.84|0.1045|47|131
16682|2012-12-02|20|No|No|misty|0.42|0.4242|0.82|0.194|12|142
7224|2011-11-02|14|No|Yes|clear|0.5|0.4848|0.45|0.1642|40|132
2282|2011-04-09|22|No|No|misty|0.36|0.3485|0.93|0.1343|21|66
11742|2012-05-09|10|No|Yes|misty|0.62|0.6061|0.65|0.2537|40|113
5881|2011-09-07|12|No|Yes|light snow/rain|0.56|0.5303|0.94|0.0|1|21
12102|2012-05-24|10|No|Yes|clear|0.64|0.6061|0.65|0.1343|47|138
16493|2012-11-24|22|No|No|clear|0.24|0.2273|0.44|0.2537|7|69
14989|2012-09-21|17|No|Yes|clear|0.68|0.6364|0.57|0.2836|107|739
7458|2011-11-12|8|No|No|clear|0.26|0.2576|0.7|0.194|14|87
1555|2011-03-10|5|No|Yes|light snow/rain|0.36|0.3485|0.0|0.194|1|2
60|2011-01-03|14|No|Yes|clear|0.26|0.2424|0.3|0.2836|11|66
9706|2012-02-14|8|No|Yes|misty|0.24|0.2879|0.7|0.0|3|510
9144|2012-01-21|21|No|No|clear|0.18|0.1515|0.74|0.3284|5|64
796|2011-02-05|14|No|No|light snow/rain|0.22|0.2727|1.0|0.0|5|50
13089|2012-07-04|13|Yes|No|clear|0.9|0.8182|0.35|0.0|177|322
17240|2012-12-26|4|No|Yes|clear|0.22|0.197|0.69|0.3582|0|2
1066|2011-02-17|3|No|Yes|clear|0.34|0.3333|0.53|0.194|3|1
971|2011-02-13|1|No|No|clear|0.2|0.2273|0.59|0.0896|1|23
7415|2011-11-10|13|No|Yes|light snow/rain|0.36|0.3333|0.81|0.3582|9|87
5810|2011-09-04|12|No|No|clear|0.76|0.7273|0.66|0.1642|214|221
13678|2012-07-29|2|No|No|clear|0.66|0.6212|0.74|0.1343|33|79
12308|2012-06-02|0|No|No|misty|0.56|0.5303|0.83|0.1343|5|81
7720|2011-11-23|6|No|Yes|misty|0.44|0.4394|1.0|0.0|1|68
1863|2011-03-23|9|No|Yes|misty|0.32|0.303|0.81|0.2537|8|174
10502|2012-03-18|16|No|No|clear|0.54|0.5152|0.73|0.0896|229|312
10610|2012-03-23|4|No|Yes|misty|0.5|0.4848|0.94|0.1045|0|3
9841|2012-02-19|23|No|No|misty|0.22|0.2273|0.93|0.1642|5|30
8381|2011-12-20|20|No|Yes|clear|0.36|0.3788|0.66|0.0|3|144
16146|2012-11-10|11|No|No|clear|0.4|0.4091|0.58|0.1045|143|323
3965|2011-06-19|2|No|No|clear|0.68|0.6364|0.74|0.0896|13|59
908|2011-02-10|8|No|Yes|clear|0.1|0.0758|0.49|0.3284|5|173
3370|2011-05-25|7|No|Yes|clear|0.62|0.5909|0.73|0.1343|29|284
17341|2012-12-30|9|No|No|clear|0.24|0.2121|0.52|0.3881|9|65
7173|2011-10-31|11|No|Yes|clear|0.4|0.4091|0.5|0.1343|31|97
16370|2012-11-19|19|No|Yes|misty|0.4|0.4091|0.58|0.2836|25|381
6441|2011-09-30|22|No|Yes|clear|0.52|0.5|0.55|0.3284|30|129
1451|2011-03-05|17|No|No|misty|0.48|0.4697|0.59|0.3582|60|104
5712|2011-08-31|10|No|Yes|clear|0.7|0.6364|0.45|0.1045|33|105
5156|2011-08-07|17|No|No|light snow/rain|0.74|0.7121|0.74|0.6418|63|131
5577|2011-08-25|6|No|Yes|clear|0.66|0.6061|0.83|0.3284|1|101
16394|2012-11-20|19|No|Yes|misty|0.4|0.4091|0.71|0.0|23|361
2301|2011-04-10|17|No|No|misty|0.52|0.5|0.72|0.194|84|152
4334|2011-07-04|11|Yes|No|misty|0.76|0.697|0.55|0.0896|177|172
15638|2012-10-18|18|No|Yes|misty|0.56|0.5303|0.64|0.3284|68|720
14363|2012-08-26|15|No|No|light snow/rain|0.64|0.5758|0.89|0.2836|132|259
636|2011-01-29|18|No|No|clear|0.22|0.2273|0.69|0.1343|9|59
10882|2012-04-03|13|No|Yes|clear|0.56|0.5303|0.19|0.2537|120|225
102|2011-01-05|10|No|Yes|clear|0.22|0.197|0.37|0.3284|4|53
16929|2012-12-13|3|No|Yes|misty|0.26|0.2424|0.56|0.2836|0|2
11008|2012-04-08|19|No|No|clear|0.6|0.6061|0.23|0.3881|89|187
7909|2011-12-01|4|No|Yes|clear|0.26|0.2424|0.56|0.2836|0|1
11506|2012-04-29|14|No|No|clear|0.54|0.5152|0.34|0.0|281|372
16468|2012-11-23|21|No|Yes|clear|0.46|0.4545|0.47|0.2537|23|75
6146|2011-09-18|15|No|No|misty|0.58|0.5455|0.6|0.1343|132|233
12165|2012-05-27|1|No|No|clear|0.66|0.6212|0.74|0.2239|17|61
11344|2012-04-22|20|No|No|light snow/rain|0.36|0.3333|0.93|0.4179|1|34
14921|2012-09-18|21|No|Yes|misty|0.6|0.5455|0.88|0.194|21|186
6097|2011-09-16|14|No|Yes|misty|0.54|0.5152|0.45|0.1642|49|176
12167|2012-05-27|3|No|No|clear|0.64|0.6061|0.73|0.1642|11|25
7113|2011-10-28|23|No|Yes|light snow/rain|0.3|0.2727|0.81|0.3284|8|31
3074|2011-05-12|23|No|Yes|misty|0.54|0.5152|0.77|0.194|16|87
291|2011-01-13|13|No|Yes|clear|0.22|0.197|0.41|0.4478|2|81
7541|2011-11-15|19|No|Yes|misty|0.5|0.4848|0.72|0.3582|27|259
323|2011-01-14|22|No|Yes|misty|0.16|0.2273|0.69|0.0|2|34
4230|2011-06-30|3|No|Yes|clear|0.6|0.6061|0.6|0.1642|2|7
7276|2011-11-04|18|No|Yes|clear|0.42|0.4242|0.32|0.4627|35|339
8055|2011-12-07|6|No|Yes|light snow/rain|0.48|0.4697|1.0|0.4179|0|18
10713|2012-03-27|11|No|Yes|clear|0.3|0.303|0.31|0.1642|34|141
2459|2011-04-17|8|No|No|clear|0.38|0.3939|0.46|0.3881|7|36
13361|2012-07-15|21|No|No|clear|0.72|0.697|0.79|0.0896|59|164
13842|2012-08-04|22|No|No|clear|0.76|0.7273|0.66|0.2836|104|165
6770|2011-10-14|15|No|Yes|clear|0.62|0.6212|0.43|0.2836|61|169
14011|2012-08-11|23|No|No|light snow/rain|0.66|0.6061|0.78|0.1642|42|121
4451|2011-07-09|8|No|No|clear|0.7|0.6515|0.7|0.2537|68|114
3878|2011-06-15|11|No|Yes|clear|0.68|0.6364|0.36|0.0|49|115
6193|2011-09-20|14|No|Yes|misty|0.58|0.5455|0.88|0.194|27|85
9810|2012-02-18|16|No|No|clear|0.44|0.4394|0.44|0.3284|186|218
3270|2011-05-21|3|No|No|clear|0.48|0.4697|0.82|0.1045|7|12
8288|2011-12-16|23|No|Yes|misty|0.3|0.303|0.49|0.1343|4|71
170|2011-01-08|8|No|No|light snow/rain|0.16|0.1818|0.93|0.1045|0|15
